,Type Of Dwelling,General Zone Classification,Linear Feet of Street,Plot size in square feet,Type of road,Type of Alley,Shape of Property,Flatness of Property,Types of Utilities Available,Plot Configuration,Slope of Property,Locations within Ames City limits,Proximity to various conditions,Overall Rating(Material & Finishing),Rating Overall Condition of house,Original construction date,Remodel date of property,Type of Roof,Material used in Roof,Exterior Covering on the House,Evaluation of Quality of material on Exterior,Evaluation present condition of material on Exterior,Type of Foundation,Evaluation of hight of basement,Evaluation of condition of Basement,Exposure Walkout or garden-level walls,Basement Finished area rating,Finished square feet area in basement,"Basement Finished area rating,if multiple types","Finished square feet area in basement,type 2",Unfinished Basement area in square feet,Total Basement area in square feet,Type of heating,Heating Quality and Condition,Central Air Conditioning,Electrical System,Area of 1st Floor in Square Feet,Area of 2nd Floor in Square Feet,Total living area in square feet,Full Bathrooms,Half Bathrooms,Bedrooms(Excluded Basement Bedrooms),Kitchens,Kitchen Quality,Total Rooms(Excluded Bathrooms),Number of Fireplaces,Fireplace Quality,Garage location,The Year of Garage Built,Interior finish of the garage,Car Parking capacity in Garage,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Fence Quality,Miscellaneous features,Value of miscellaneous feature in Dollars,Month and Year of sold,Type of Sale,Condition of Sale,Sale Price,Price per square foot of property(in $),Age of Property when sold(in years)
0,2-STORY 1946 & NEWER,Residential Low-Density,65,8450,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,Normal,Good,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,706,Unfinished,0,150,856,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,856,854,1710,2,1,3,1,Good,8,0,No Fireplace,Attached to the home,2003,Rough Finished,2,548,Typical/Average,Typical/Average,Paved,0,61,0,0,0,No Fence,No Extra Feature,0,February 2008,Warranty Deed - Conventional,Normal Sale,208500,24.674556213017752,5
1,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,9600,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Frontage on 2 sides of the property,Gentle Slope,Veenker,Adjacent to feeder street & Normal,Above Average,Very Good,1976,1976,Gable,Standard (Composite) Shingle,Metal Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Average Living Quarters,978,Unfinished,0,284,1262,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1262,0,1262,2,0,3,1,Average/Typical,6,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1976,Rough Finished,2,460,Typical/Average,Typical/Average,Paved,298,0,0,0,0,No Fence,No Extra Feature,0,May 2007,Warranty Deed - Conventional,Normal Sale,181500,18.90625,31
2,2-STORY 1946 & NEWER,Residential Low-Density,68,11250,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,Normal,Good,Average,2001,2002,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Good Living Quarters,486,Unfinished,0,434,920,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,920,866,1786,2,1,3,1,Good,6,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2001,Rough Finished,2,608,Typical/Average,Typical/Average,Paved,0,42,0,0,0,No Fence,No Extra Feature,0,September 2008,Warranty Deed - Conventional,Normal Sale,223500,19.866666666666667,7
3,2-STORY 1945 & OLDER,Residential Low-Density,60,9550,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Crawford,Normal,Good,Average,1915,1970,Gable,Standard (Composite) Shingle,Wood Siding & Wood Shingles,Average/Typical,Average/Typical,Brick & Tile,Good (90-99 inches),Good,No Exposure,Average Living Quarters,216,Unfinished,0,540,756,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,961,756,1717,1,0,3,1,Good,7,1,Good - Masonry Fireplace on the main level,Detached from home,1998,Unfinished,3,642,Typical/Average,Typical/Average,Paved,0,35,272,0,0,No Fence,No Extra Feature,0,February 2006,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",140000,14.659685863874346,91
4,2-STORY 1946 & NEWER,Residential Low-Density,84,14260,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Frontage on 2 sides of the property,Gentle Slope,Northridge,Normal,Very Good,Average,2000,2000,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living Quarters,655,Unfinished,0,490,1145,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1145,1053,2198,2,1,4,1,Good,9,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2000,Rough Finished,3,836,Typical/Average,Typical/Average,Paved,192,84,0,0,0,No Fence,No Extra Feature,0,December 2008,Warranty Deed - Conventional,Normal Sale,250000,17.53155680224404,8
5,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,85,14115,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Mitchell,Normal,Average,Average,1993,1995,Gable,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Average/Typical,Wood,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,732,Unfinished,0,64,796,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,796,566,1362,1,1,1,1,Average/Typical,5,0,No Fireplace,Attached to the home,1993,Unfinished,2,480,Typical/Average,Typical/Average,Paved,40,30,0,320,0,Minimum Privacy,Shed (over 100 Square Feet),700,October 2009,Warranty Deed - Conventional,Normal Sale,143000,10.131066241586964,16
6,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,10084,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Somerset,Normal,Very Good,Average,2004,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living Quarters,1369,Unfinished,0,317,1686,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1694,0,1694,2,0,3,1,Good,7,1,Good - Masonry Fireplace on the main level,Attached to the home,2004,Rough Finished,2,636,Typical/Average,Typical/Average,Paved,255,57,0,0,0,No Fence,No Extra Feature,0,August 2007,Warranty Deed - Conventional,Normal Sale,307000,30.444268147560493,3
7,2-STORY 1946 & NEWER,Residential Low-Density,0,10382,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Northwest Ames,"Near positive off-site feature--park, greenbelt, etc & Normal",Good,Above Average,1973,1973,Gable,Standard (Composite) Shingle,Hard Board,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Average Living Quarters,859,Below Average Living Quarters,32,216,1107,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1107,983,2090,2,1,3,1,Average/Typical,7,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1973,Rough Finished,2,484,Typical/Average,Typical/Average,Paved,235,204,228,0,0,No Fence,Shed (over 100 Square Feet),350,November 2009,Warranty Deed - Conventional,Normal Sale,200000,19.264110961279137,36
8,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,51,6120,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Old Town,Adjacent to arterial street & Normal,Good,Average,1931,1950,Gable,Standard (Composite) Shingle,Brick Face & Wood Shingles,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,952,952,Gas forced warm air furnace,Good,Yes,60 AMP Fuse Box and mostly Romex wiring (Fair),1022,752,1774,2,0,2,2,Average/Typical,8,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Detached from home,1931,Unfinished,2,468,Fair,Typical/Average,Paved,90,0,205,0,0,No Fence,No Extra Feature,0,April 2008,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",129900,21.225490196078432,77
9,2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Low-Density,50,7420,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Brookside,Adjacent to arterial street,Average,Above Average,1939,1950,Gable,Standard (Composite) Shingle,Metal Siding,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,851,Unfinished,0,140,991,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1077,0,1077,1,0,2,2,Average/Typical,5,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1939,Rough Finished,1,205,Good,Typical/Average,Paved,0,4,0,0,0,No Fence,No Extra Feature,0,January 2008,Warranty Deed - Conventional,Normal Sale,118000,15.902964959568733,69
